base_material,context
polymer,"' INTRODUCTION A comprehensive analysis of polymers includes not only structure elucidation of the bulk sample; it also requires analysis of the different parameters of molecular heterogeneity, which is typically conducted by liquid chromatography. Depending on the separation method, 1 it is possible to obtain the molar mass distribution (MMD), chemical composition distribution (CCD), and functionality type distribution (FTD). In particular, liquid chromatography at critical conditions (LCCC) is an elegant method to separate polymers regarding chemical heterogeneity."
polymer,"' INTRODUCTION A comprehensive analysis of polymers includes not only structure elucidation of the bulk sample; it also requires analysis of the different parameters of molecular heterogeneity, which is typically conducted by liquid chromatography. Depending on the separation method, 1 it is possible to obtain the molar mass distribution (MMD), chemical composition distribution (CCD), and functionality type distribution (FTD). In particular, liquid chromatography at critical conditions (LCCC) is an elegant method to separate polymers regarding chemical heterogeneity. [2] [3] [4] [5] In this case polymers of the same composition and microstructure elute independently of their molar mass at the same retention volume. This status was also called ""chromatographic invisibility"" by Gorbunov and Skvortsov 6 and is characterized by compensating enthalpic and entropic interactions between the macromolecules and the chromatographic system."
polymer,"Depending on the separation method, 1 it is possible to obtain the molar mass distribution (MMD), chemical composition distribution (CCD), and functionality type distribution (FTD). In particular, liquid chromatography at critical conditions (LCCC) is an elegant method to separate polymers regarding chemical heterogeneity. [2] [3] [4] [5] In this case polymers of the same composition and microstructure elute independently of their molar mass at the same retention volume. This status was also called ""chromatographic invisibility"" by Gorbunov and Skvortsov 6 and is characterized by compensating enthalpic and entropic interactions between the macromolecules and the chromatographic system. Meanwhile, many applications of LCCC to block copolymers [7] [8] [9] [10] [11] [12] and blends of homopolymers [13] [14] [15] have been reported."
polymer,"[2] [3] [4] [5] In this case polymers of the same composition and microstructure elute independently of their molar mass at the same retention volume. This status was also called ""chromatographic invisibility"" by Gorbunov and Skvortsov 6 and is characterized by compensating enthalpic and entropic interactions between the macromolecules and the chromatographic system. Meanwhile, many applications of LCCC to block copolymers [7] [8] [9] [10] [11] [12] and blends of homopolymers [13] [14] [15] have been reported. Most of the references report critical conditions achieved by using solvent mixtures as the mobile phase. However, critical conditions can also be obtained by varying the temperature."
polymer,"8 In this case even single solvents can establish critical conditions as shown by Chang, 16 Macko, 17 and the present authors. 18 However, not all molecular details can be determined by liquid chromatography and concentration detection. The hyphenation of LCCC with NMR is of great interest for the polymer characterization. It can provide true molar masses and true chemical compositions of block copolymers [18] [19] [20] and can analyze end groups of polymers. 21 In the present work we focus on liquid chromatographic separations according to microstructure and the analysis of the microstructures by 1 H NMR spectroscopy."
"polymer, polystyrene","18 However, not all molecular details can be determined by liquid chromatography and concentration detection. The hyphenation of LCCC with NMR is of great interest for the polymer characterization. It can provide true molar masses and true chemical compositions of block copolymers [18] [19] [20] and can analyze end groups of polymers. 21 In the present work we focus on liquid chromatographic separations according to microstructure and the analysis of the microstructures by 1 H NMR spectroscopy. The first separation and analysis of polymer microstructures by HPLC-NMR was reported by Pasch, Hiller, and Haner 22 describing the analysis of low molar mass polystyrenes."
"polymer, polystyrene","It can provide true molar masses and true chemical compositions of block copolymers [18] [19] [20] and can analyze end groups of polymers. 21 In the present work we focus on liquid chromatographic separations according to microstructure and the analysis of the microstructures by 1 H NMR spectroscopy. The first separation and analysis of polymer microstructures by HPLC-NMR was reported by Pasch, Hiller, and Haner 22 describing the analysis of low molar mass polystyrenes. However, LCCC is also capable of separating higher molar mass polymers regarding microstructure. Berek et al."
"polymer, polystyrene","21 In the present work we focus on liquid chromatographic separations according to microstructure and the analysis of the microstructures by 1 H NMR spectroscopy. The first separation and analysis of polymer microstructures by HPLC-NMR was reported by Pasch, Hiller, and Haner 22 describing the analysis of low molar mass polystyrenes. However, LCCC is also capable of separating higher molar mass polymers regarding microstructure. Berek et al. 23 separated poly(methyl methacrylate) regarding tacticity, while Kitayama et al."
polymer,"LCCC. The LCCC experiments were performed with an Agilent 1100 HPLC system (Agilent Technologies GmbH, B€ oblingen, Germany) Received: December 2, 2010 Revised: January 24, 2011 ABSTRACT: It is shown that online coupling of liquid chromatography at critical conditions (LCCC) and 1 H NMR spectroscopy can be used to separate and analyze polyisoprenes with respect to their isomeric microstructures. It was possible to separate blends of copolymers consisting predominantly of 3,4-and 1,4-isoprene units by using critical conditions of 1,4-PI. Critical conditions of 1,4-PI were established such that polymers containing predominantly 3,4-PI elute in the size exclusion mode. Furthermore, on-flow NMR detection allows for the complete eluate analysis and the detection of all three isomeric species, such as 1,2-, 1,4-, and 3,4-isoprene, in the eluting fractions."
polymer,"The LCCC experiments were performed with an Agilent 1100 HPLC system (Agilent Technologies GmbH, B€ oblingen, Germany) Received: December 2, 2010 Revised: January 24, 2011 ABSTRACT: It is shown that online coupling of liquid chromatography at critical conditions (LCCC) and 1 H NMR spectroscopy can be used to separate and analyze polyisoprenes with respect to their isomeric microstructures. It was possible to separate blends of copolymers consisting predominantly of 3,4-and 1,4-isoprene units by using critical conditions of 1,4-PI. Critical conditions of 1,4-PI were established such that polymers containing predominantly 3,4-PI elute in the size exclusion mode. Furthermore, on-flow NMR detection allows for the complete eluate analysis and the detection of all three isomeric species, such as 1,2-, 1,4-, and 3,4-isoprene, in the eluting fractions. These three individual moieties were correctly quantified in the individual blend components."
polymer,"Furthermore, on-flow NMR detection allows for the complete eluate analysis and the detection of all three isomeric species, such as 1,2-, 1,4-, and 3,4-isoprene, in the eluting fractions. These three individual moieties were correctly quantified in the individual blend components. It was also found that the 3,4-PI samples were random terpolymers of 1,2-, 1,4-, and 3,4-isoprene, whereas the 1,4-PI samples were copolymers of 1,4-and 3,4-isoprene. In addition, SEC-NMR allowed for a fast and precise molar mass calibration and the calculation of the relevant molar mass parameters M w and M n. consisting of a pump with degasser, UV detector, column oven, and autosampler."
